iteration	node_index	branch_start_time	branch_end_time	start_state	end_state	transition_time	transition_type	parent_index	child1_index	child2_index
100	1	179.04	0	1	1	NA	no_change	148	NA	NA
110	1	179.04	0	1	8	118.214	anagenetic	148	NA	NA
110	1	179.04	0	8	1	71.9583	anagenetic	148	NA	NA
120	1	179.04	0	1	1	NA	no_change	148	NA	NA
130	1	179.04	0	1	1	NA	no_change	148	NA	NA
140	1	179.04	0	1	6	150.231	anagenetic	148	NA	NA
140	1	179.04	0	6	3	50.4988	anagenetic	148	NA	NA
140	1	179.04	0	3	6	41.7396	anagenetic	148	NA	NA
140	1	179.04	0	6	1	0.427674	anagenetic	148	NA	NA
150	1	179.04	0	1	1	NA	no_change	148	NA	NA
160	1	179.04	0	5	1	163.392	anagenetic	148	NA	NA
160	1	179.04	0	1	8	157.029	anagenetic	148	NA	NA
160	1	179.04	0	8	1	57.9478	anagenetic	148	NA	NA
170	1	179.04	0	1	8	121.298	anagenetic	148	NA	NA
170	1	179.04	0	8	1	110.395	anagenetic	148	NA	NA
180	1	179.04	0	1	1	NA	no_change	148	NA	NA
190	1	179.04	0	1	1	NA	no_change	148	NA	NA
200	1	179.04	0	1	1	NA	no_change	148	NA	NA
210	1	179.04	0	1	5	119.128	anagenetic	148	NA	NA
210	1	179.04	0	5	1	96.1643	anagenetic	148	NA	NA
220	1	179.04	0	1	8	158.796	anagenetic	148	NA	NA
220	1	179.04	0	8	1	30.3142	anagenetic	148	NA	NA
230	1	179.04	0	1	1	NA	no_change	148	NA	NA
240	1	179.04	0	1	6	94.394	anagenetic	148	NA	NA
240	1	179.04	0	6	1	5.09463	anagenetic	148	NA	NA
250	1	179.04	0	1	1	NA	no_change	148	NA	NA
260	1	179.04	0	1	5	130.17	anagenetic	148	NA	NA
260	1	179.04	0	5	1	26.3243	anagenetic	148	NA	NA
270	1	179.04	0	1	8	73.2162	anagenetic	148	NA	NA
270	1	179.04	0	8	1	0.956634	anagenetic	148	NA	NA
280	1	179.04	0	2	5	122.25	anagenetic	148	NA	NA
280	1	179.04	0	5	1	19.2587	anagenetic	148	NA	NA
290	1	179.04	0	1	6	131.563	anagenetic	148	NA	NA
290	1	179.04	0	6	1	59.6451	anagenetic	148	NA	NA
300	1	179.04	0	1	1	NA	no_change	148	NA	NA
310	1	179.04	0	1	1	NA	no_change	148	NA	NA
320	1	179.04	0	1	1	NA	no_change	148	NA	NA
330	1	179.04	0	1	8	157.124	anagenetic	148	NA	NA
330	1	179.04	0	8	1	134.04	anagenetic	148	NA	NA
330	1	179.04	0	1	6	45.2842	anagenetic	148	NA	NA
330	1	179.04	0	6	1	14.9752	anagenetic	148	NA	NA
340	1	179.04	0	1	8	171.777	anagenetic	148	NA	NA
340	1	179.04	0	8	1	133.062	anagenetic	148	NA	NA
340	1	179.04	0	1	8	79.4757	anagenetic	148	NA	NA
340	1	179.04	0	8	1	76.9566	anagenetic	148	NA	NA
350	1	179.04	0	1	1	NA	no_change	148	NA	NA
360	1	179.04	0	1	1	NA	no_change	148	NA	NA
370	1	179.04	0	1	6	150.654	anagenetic	148	NA	NA
370	1	179.04	0	6	1	88.9328	anagenetic	148	NA	NA
380	1	179.04	0	1	1	NA	no_change	148	NA	NA
390	1	179.04	0	1	6	137.224	anagenetic	148	NA	NA
390	1	179.04	0	6	1	0.644234	anagenetic	148	NA	NA
400	1	179.04	0	1	1	NA	no_change	148	NA	NA
410	1	179.04	0	1	1	NA	no_change	148	NA	NA
420	1	179.04	0	1	6	150.974	anagenetic	148	NA	NA
420	1	179.04	0	6	1	93.1415	anagenetic	148	NA	NA
430	1	179.04	0	1	1	NA	no_change	148	NA	NA
440	1	179.04	0	1	1	NA	no_change	148	NA	NA
450	1	179.04	0	1	1	NA	no_change	148	NA	NA
460	1	179.04	0	1	1	NA	no_change	148	NA	NA
470	1	179.04	0	4	8	112.361	anagenetic	148	NA	NA
470	1	179.04	0	8	1	17.7282	anagenetic	148	NA	NA
480	1	179.04	0	1	1	NA	no_change	148	NA	NA
490	1	179.04	0	1	1	NA	no_change	148	NA	NA
500	1	179.04	0	1	8	166.376	anagenetic	148	NA	NA
500	1	179.04	0	8	4	145.368	anagenetic	148	NA	NA
500	1	179.04	0	4	8	16.4688	anagenetic	148	NA	NA
500	1	179.04	0	8	1	14.1958	anagenetic	148	NA	NA
510	1	179.04	0	1	8	117.742	anagenetic	148	NA	NA
510	1	179.04	0	8	1	73.141	anagenetic	148	NA	NA
520	1	179.04	0	1	1	NA	no_change	148	NA	NA
530	1	179.04	0	1	6	157.746	anagenetic	148	NA	NA
530	1	179.04	0	6	1	97.5869	anagenetic	148	NA	NA
540	1	179.04	0	6	1	80.122	anagenetic	148	NA	NA
550	1	179.04	0	1	5	139.5	anagenetic	148	NA	NA
550	1	179.04	0	5	1	12.0794	anagenetic	148	NA	NA
560	1	179.04	0	1	5	156.638	anagenetic	148	NA	NA
560	1	179.04	0	5	1	91.308	anagenetic	148	NA	NA
570	1	179.04	0	1	1	NA	no_change	148	NA	NA
