Iteration	Posterior	Likelihood	Prior	clock_bg	er_base
0	-1178.982	-129.2771	-1049.705	0.01	0.01
10	-149.442	-97.08359	-52.35844	0.003404934	0.3379988
20	-89.02835	-93.61791	4.589564	0.003599477	1.051186
30	-88.97405	-94.15038	5.176335	0.002146957	1.038778
40	-92.19219	-97.31142	5.119237	0.001261675	0.8730341
50	-89.01865	-93.50688	4.488231	0.002571422	1.103929
60	-88.98776	-94.20729	5.219527	0.002247645	0.953949
70	-89.20803	-94.56791	5.359879	0.002003716	0.962821
80	-90.87079	-94.03403	3.163238	0.004796451	1.161038
90	-89.12535	-93.26924	4.143896	0.003138991	1.117349
100	-88.7822	-93.96085	5.178655	0.002316294	1.02055
110	-91.38375	-95.12844	3.744692	0.004375843	0.8640105
120	-89.71002	-95.25375	5.543734	0.001709076	0.9799352
130	-89.09255	-93.96466	4.872117	0.002679655	0.9214344
140	-91.44056	-92.77403	1.333469	0.003007285	1.290537
150	-89.77799	-93.06881	3.290824	0.003187238	1.180119
160	-93.20285	-97.12865	3.925794	0.006822866	1.055017
170	-90.87581	-92.92912	2.053312	0.003656042	1.24449
180	-90.22388	-94.95295	4.729069	0.001728465	1.118365
190	-89.98078	-95.22424	5.243457	0.001670289	1.067773
200	-89.59642	-93.35141	3.754992	0.002575181	1.163162
210	-88.6413	-93.66112	5.019825	0.002834878	1.004632
220	-88.95779	-94.09522	5.137435	0.002368115	0.9461212
230	-92.60186	-94.25481	1.652944	0.005435917	1.244688
240	-91.0241	-96.32826	5.304161	0.00139235	1.082678
250	-88.90466	-93.61062	4.705965	0.002507319	1.083816
260	-88.68048	-93.56004	4.87956	0.003030715	1.028459
270	-90.70868	-94.29298	3.584298	0.003212679	0.8368797
280	-89.69189	-93.29208	3.600192	0.003697297	1.148188
290	-90.58472	-95.03578	4.451054	0.00469012	0.945421
300	-88.91592	-93.419	4.503085	0.002754917	1.095558
310	-91.34018	-93.25052	1.910344	0.002417621	1.273075
320	-89.24094	-93.88582	4.644881	0.002226641	1.102694
330	-89.03614	-93.46066	4.424523	0.003470316	1.078756
340	-88.74703	-93.54432	4.797288	0.00318412	1.035746
350	-88.9028	-93.87926	4.976459	0.002739334	0.9426851
360	-89.05893	-93.33259	4.273658	0.003275362	1.101248
370	-92.15256	-96.39597	4.24341	0.005744332	0.9443137
380	-89.27188	-94.02332	4.751443	0.003755939	0.9741216
390	-89.01286	-93.93549	4.922633	0.002691263	0.9295637
400	-89.03309	-93.30518	4.272092	0.002977511	1.110516
410	-88.89791	-93.41083	4.512922	0.003234419	1.076595
420	-89.46245	-94.03798	4.575524	0.003303748	0.9104623
430	-88.7263	-93.53166	4.805357	0.003127775	1.037732
440	-89.95615	-93.79654	3.840388	0.002191715	1.168413
450	-90.7643	-95.16453	4.400236	0.005135461	1.015001
460	-90.76165	-95.05421	4.29256	0.005162633	1.040014
